Template Index,Template ID,Template Name,Saved Filename,Updated At,Detected Products Count,Detected Products List,Dynamic Klaviyo Tags
1,UQqsZ2,11.Aug.Emailer_6.ready_to_review,01_11augemailer_6ready_to_review_UQqsZ2.html,2026-08-12T05:00:42+00:00,17,"100+ Trusted Brands, A smoother service starts, Build for your signature
                    menu, Celebrate Festival Inc., Commercial convection oven, Commercial dough roller machine, Commercial holding cabinets, Commercial kitchen equipment setup: Planetary Mixer, Dough Roller, Holding Cabinet, Double Convection Oven, Create a cleaner prep path, Fast Shipping, Four decisions that shape the whole kitchen, Hold without losing
                    momentum, LinkedIn, Match the cookline to the
                    menu, Price Match, Quality Customer Service, Stainless steel work tables and prep stations",
2,TBV7NS,11.Aug.Emailer_5.ready_to_review,02_11augemailer_5ready_to_review_TBV7NS.html,2026-08-10T21:44:18+00:00,16,"100+ Trusted Brands, Build the operation, not just the equipment list., Celebrate Festival Inc., Combination oven, Commercial kitchen equipment lineup, Create consistent results, Equip a distinctive menu, Every
                  station., Fast Shipping, LinkedIn, Move faster before service, Not sure
            what belongs in your kitchen?, Price Match, Protect quality at the pass, Quality Customer Service, Your
            menu, workflow, and service demands.",
3,Y7ksEL,11.Aug.Emailer_4.ready_to_review,03_11augemailer_4ready_to_review_Y7ksEL.html,2026-08-10T21:44:09+00:00,23,"100+ Trusted Brands, Angaar conveyor kebab grill, Celebrate Festival Inc., Combination Ovens, Combination oven, Convection Ovens, Convection oven, Dough Rollers, Equipment that earns its place., Fast Shipping, Holding Cabinets, Holding cabinets, LinkedIn, Need a
                      second opinion?, Pizza Ovens, Pizza and conveyor ovens, Pizza dough roller, Price Match, Purpose-built for distinctive menus., Quality Customer Service, Six categories. One serious equipment partner., Stainless steel work tables, Work Tables",
4,W8tynM,11.Aug.Emailer_3.ready_to_review,04_11augemailer_3ready_to_review_W8tynM.html,2026-08-10T21:26:05+00:00,20,"100+ Trusted Brands, Build Around Your Operation, Celebrate Festival Inc., Celebrate Festival Inc. Restaurant Equipment, Chef standing in a fully equipped commercial kitchen, Commercial Equipment Worth a Closer Look, Fast Shipping, LinkedIn, Not Sure Which Model Fits?, Plan the Equipment Your Kitchen Needs, Price Match, Quality Customer Service, Rational 6 Pan Full Size Electric Combi Oven Icombi Pro Oven 208 240V 3 Phase, Rational iCombi Pro Full Size 6 Pan Electric Commercial Combi Oven, Robot Coupe R2N Cutter Mixer and Food Processor with 3 Quart Bowl, Robot Coupe R2N Robot Coupe R2N 1 Speed Cutter Mixer Food Processor W 3 Qt Bowl 120V, True T 49 Hc Reach In Solid Swing Door Refrigerator, True T-49-HC Reach-In Solid Swing Door Refrigerator, Waring CB15 1-Gallon Commercial Stainless Steel Food Blender, Waring One Gallon 120 V Food Blender Heavy Duty Cb15 Cb 15 With Electronic Keypad 3 75 Hp",
5,V9LWwA,5.Aug.Emailer_2.testing,05_5augemailer_2testing_V9LWwA.html,2026-08-07T19:50:49+00:00,21,"100+ Trusted Brands, Alto-Shaam heated holding solutions, Build a More Versatile Kitchen, Celebrate Festival Inc., Combination Ovens, Commercial Kebab Extruder, Convection Ovens, Conveyor Kebab Grill, Customer Quality Service, From Prep to Plate, We've Got You Covered., Grill & Prepare Setup, Hold & Serve with Atosa, LinkedIn, Nationwide Shipping, Pizza Dough Roller Machine, Pizza Ovens, Price Match Guarantee, Professional cooking equipment for naan kebabs pizza and pita, Rotating Pita Oven, Versatile Bake Solutions, Your Next Best-Selling Dish",
6,ULMEH2,5.Aug.Emailer_1.testing,06_5augemailer_1testing_ULMEH2.html,2026-08-07T19:49:50+00:00,31,"Alto-Shaam Holding Cabinets, Brands, Built for Output. Backed by Quality., Celebrate Festival Inc., Combination Ovens, Combination ovens, Commercial Kebab Extruder, Commercial Kitchen Setup, Commercial kitchen equipment lineup, Convection Ovens, Convection ovens, Conveyor Kebab Grill, Conveyor Ovens, Conveyor ovens, Discover the ANGAAR Collection, Dough Roller Machine, Hold Ovens & Holding Cabinets, Indian Specialty, Indian specialty equipment categories, Kebab Extruder, LinkedIn, Oven Solutions for Every Kitchen, Pizza Dough Roller Machine, Pizza Ovens, Pizza ovens, Price Match, Quality, Ready to Elevate Your Kitchen?, Rotating Pita Oven, Shipping, What Makes a Great",
7,VuKmGv,27.July.Emailer_8.testing,07_27julyemailer_8testing_VuKmGv.html,2026-08-07T19:46:47+00:00,27,"ANGAAR Commercial Kitchen Oven Equipment, AUTHENTIC INDIAN SPECIALTY EQUIPMENT, Authentic Performance, Built for Busy Service, Celebrate Festival Inc., Combination Ovens, Commercial Durability, Commercial Extruder, Commercial Kebab Extruder, Complete Oven Solutions, Convection Ovens, Conveyor Kebab Grill, EXPLORE THE ANGAAR SPECIALTY LINE, Fast Shipping, HEAVY-DUTY OVEN COLLECTION, Holding Cabinets, Indian Specialty Equipment, LET'S BUILD YOUR KITCHEN, LinkedIn, Pizza & Conveyor Ovens, Pizza Dough Roller, Price Match, Quality Service, Rotating Pita Oven, Stainless Prep Tables, Trusted Brands, WHY CHOOSE ANGAAR?",
8,RyMjfB,27.July.Emailer_7.testing,08_27julyemailer_7testing_RyMjfB.html,2026-08-07T19:40:24+00:00,29,"100+ Brands, AUTHENTIC INDIAN SERVEWARE & TABLEWARE, Alto-Shaam Cabinets, Alto-Shaam Heated Holding Cabinets, Authentic Indian Serveware & Tableware, BAKE, BUILD YOUR SYSTEM WITH CELEBRATE FESTIVAL, COOK, Celebrate Festival Inc., Combination Oven, Combination Ovens, Commercial Kebab Extruder, Convection & Deck, Convection & Deck Ovens, Conveyor Kebab Grill, Fast Shipping, HOLD & SERVE, Heated Display Cases, Kebab Extruder, Kitchen's Operations, LinkedIn, PREPARE, Pizza Dough Roller, Pizza Dough Roller Machine, Price Match, Quality Service, Rotating Pita Oven, Streamline Your, Warmers & Displays",
9,YtMacJ,20.July.Emailer_6.ready for review,09_20julyemailer_6ready_for_review_YtMacJ.html,2026-08-07T19:38:29+00:00,30,"AUTHENTIC INDIAN SERVEWARE & TABLEWARE, COMMERCIAL OVEN SOLUTIONS, CREATE MORE WITH ANGAAR, Celebrate Festival Inc., Commercial Combi Oven, Commercial Convection Oven, Commercial Conveyor Oven, Commercial Cooking Equipment, Commercial Kebab Extruder, Continuous Cooking • High Output, Conveyor Kebab Grill, Crispy Crusts • High-Volume Performance, Even Cooking • Consistent Results, FEATURED EQUIPMENT SELECTION, Fast Shipping, From Preparation & Cooking to Holding & Serving, Heated Display Cases, Holding Cabinet, Hot Food Tables, LinkedIn, Mini Tandoor Oven, One Oven • Endless Possibilities, Pizza Dough Roller, Preserve Freshness • Maintain Quality, Price Match, Professional Pizza Oven, Quality Service, Refrigerated Display, Rotating Pita Oven, Trusted Brands",
10,RaQ7Cx,20.July.Emailer_5.ready for review,10_20julyemailer_5ready_for_review_RaQ7Cx.html,2026-08-07T19:37:05+00:00,35,"100+ Trusted Brands, ANGAAR Commercial Kitchen Tandoor & Grill Equipment, AUTHENTIC INDIAN SPECIALTY EQUIPMENT, Authentic Performance, BUILT FOR CHEFS WHO DEMAND MORE, Built for Busy Service, Celebrate Festival Inc., Commercial Combi Oven, Commercial Convection Oven, Commercial Conveyor Oven, Commercial Durability, Commercial Kebab Extruder, Continuous Cooking • High-Volume Service, Conveyor Kebab Grill, Crispy Crusts • Fast Recovery Time, EXPLORE OUR COMMERCIAL OVEN SOLUTIONS, EXPLORE THE ANGAAR COLLECTION, Even Cooking • Reliable Performance, Fast & Free Shipping, From Preparation & Cooking to Holding & Serving, Heated Display Cases, Heated Holding Cabinets, Holding Cabinet, Holding Cabinets, LinkedIn, Mini Tandoor Oven, One Oven • Multiple Cooking Methods, Perfect Temperature • Safe Food Holding, Pizza Dough Roller, Price Match Guarantee, Professional Pizza Oven, Quality Customer Service, Rotating Pita Oven, Stainless Prep Tables, WHY CHOOSE ANGAAR?",
